iso,nodetype,node,curve,year,error
ercot,node,SANDHSYD_5AC,fmm,2017,Error: Bad frequency in data
ercot,node,BYU_BYU_12,fmm,2017,Error: Bad frequency in data
ercot,node,PSA_PUN4,fmm,2017,Error: Bad frequency in data
ercot,node,BUCKTHRN_RN,fmm,2017,Error: Bad frequency in data
ercot,node,CHE_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,DOWGEN_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,SIRIUS_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,SLTFRK_UN1_2,fmm,2017,Error: Bad frequency in data
ercot,node,TRINITY_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,DC_N,fmm,2017,Error: Bad frequency in data
ercot,node,DUP_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,ETCCS_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,EXN_9_13,fmm,2017,Error: Bad frequency in data
ercot,node,HICK_G1_G2,fmm,2017,Error: Bad frequency in data
ercot,node,NBOHR_RN,fmm,2017,Error: Bad frequency in data
ercot,node,PNPI_GT2_RN,fmm,2017,Error: Bad frequency in data
ercot,node,TGCCS_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,THW_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,BOSQ_BSQS_34,fmm,2017,Error: Bad frequency in data
ercot,node,DOWGEN_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,FRNYPP_2_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,INGLCO_PUN3,fmm,2017,Error: Bad frequency in data
ercot,node,LEONLCPCT3_4,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_NORTH,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_NORTH,fmm,2019,Error: Bad frequency in data
ercot,node,LZ_NORTH,fmm,2022,Error: Bad frequency in data
ercot,node,PEAR_PEARS_2,fmm,2017,Error: Bad frequency in data
ercot,node,TNSKA_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,WAP_WAP_G8,fmm,2017,Error: Bad frequency in data
ercot,node,BRAUNIG_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,BVE_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,BYU_BYU_34,fmm,2017,Error: Bad frequency in data
ercot,node,GBY_GT,fmm,2017,Error: Bad frequency in data
ercot,node,HAYSEN1_2,fmm,2017,Error: Bad frequency in data
ercot,node,PANDA_T2_CT1,fmm,2017,Error: Bad frequency in data
ercot,node,RIONOG_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,RN_SR_WIND1,fmm,2017,Error: Bad frequency in data
ercot,node,SPNC_SPNCE_4,fmm,2017,Error: Bad frequency in data
ercot,node,WHCCS_CT2,fmm,2017,Error: Bad frequency in data
ercot,node,BASTEN_CC1,fmm,2017,Error: Bad frequency in data
